Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
2459,Verified,C,chr 10,SWE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1760,Verified,W,chr 10,MNN5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
371,Verified,W,chr 10,GON7,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1268,Verified,W,chr 10,MNN11,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1835,Uncharacterized,W,chr 10,RBH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Verified,C,chr 10,ATP12,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,mitochondrion organization,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Verified,W,chr 10,PFD1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,protein binding,unfolded protein binding,,,,,,,,,,,,
815,Verified,C,chr 10,ATG27,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,ion binding,,,,,,,,,,,,,
871,Verified,W,chr 10,RPL17B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
2477,Verified,C,chr 10,SWI3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
368,Verified,C,chr 10,RFA3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1730,Verified,W,chr 10,CPS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2201,Verified,C,chr 10,SET2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
1058,Verified,W,chr 10,ERG20,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
284,Verified,W,chr 10,QCR8,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
2567,Verified,C,chr 10,HAL5,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1193,Verified,C,chr 10,TPK1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
863,Uncharacterized,C,chr 10,PIR5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Verified,W,chr 10,HSP150,cell part,external encapsulating structure,cell wall,,,,,,,,,,,,,cellular process,cell wall organization or biogenesis,,,,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
683,Verified,C,chr 10,CIS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,cellular process,cell wall organization or biogenesis,,,,,,,,,,,,,,structural molecule activity,,,,,,,,,,,,,,
2492,Verified,C,chr 10,FAR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
2099,Verified,C,chr 10,SSY5,membrane,plasma membrane,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein maturation,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1358,Verified,C,chr 10,FBP26,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2834,Verified,C,chr 10,VPS35,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,intracellular transport,endosomal transport,,,,,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
1601,Verified,C,chr 10,INO1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,,,,,,,,,,,,,catalytic activity,isomerase activity,,,,,,,,,,,,,
1991,Verified,W,chr 10,DAS1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,binding,protein binding,"protein binding, bridging",,,,,,,,,,,,
701,Verified,W,chr 10,RPA34,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase I promoter,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
476,Verified,W,chr 10,TIM17,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
2423,Verified,C,chr 10,YAK1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
665,Verified,W,chr 10,RPB4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,mRNA processing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1286,Verified,C,chr 10,YUR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1187,Verified,C,chr 10,TIF2,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1142,Verified,C,chr 10,GLG2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
723,Verified,C,chr 10,RPS21B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1229,Verified,W,chr 10,LCB3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
944,Verified,W,chr 10,MRS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
6644,Verified,C,chr 10,URA2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
2006,Verified,C,chr 10,PBS2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,protein binding,enzyme binding,,,,,,,,,,,,
1922,Verified,C,chr 10,SPT10,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
923,Verified,W,chr 10,NIT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1151,Verified,C,chr 10,GCD14,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
518,Verified,C,chr 10,LSM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA catabolic process,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
